Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2024 [YR2024]
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.1211061197056,5.02011100232484,3.83795817364721,7.59048947333467,4.49649828461209
Kenya,KEN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,58603891851.295,66801914096.6185,75879571212.3885,90413816676.9795,104575203135.656
Kenya,KEN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,27.3659528452877,34.5220651778387,33.1505993031106,31.1231240199267,..
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,14.0224913014704,6.87815499275944,8.00564967709946,6.10793603659178,4.48978854243448
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.3916554927176,5.10630732539796,3.13140551723596,3.53658034070898,6.13645201846398
Uganda,UGA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,27234530259.5375,30789849487.5724,34998276801.8745,42210585952.7826,49356997179.0834
Uganda,UGA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,11.6564025152961,12.9035596137236,13.4819167027352,14.7869665338728,14.3694843740808
Uganda,UGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,16.5643496174515,3.07570668958643,5.20971705914208,2.20457204757409,3.32338067086562
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/04/2025,,,,,,,,
