Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2024 [YR2024]
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.1211061197056,5.02011100232484,3.83795817364721,7.59048947333467,4.49649828461209
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.1782962271642,10.2574929610054,9.56418965754014,5.64153069257077,7.31669112848382
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.3916554927176,5.10630732539796,3.13140551723596,3.53658034070898,6.13645201846398
Malawi,MWI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.93266999813729,5.62527000105139,4.00000000089172,4.55829212016083,1.82685000010194
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.67215543486064,6.73246186832483,6.76227716834148,4.32138429480482,5.5263138305945
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.30792420289512,6.30971865525467,0.80588661910221,3.64718654072446,3.42643947135149
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,
